trade_date,session_open,contract_id,forecast_id,signal_requested_position,signal_abstained,risk_shutdown,prior_target_position,target_position,order_delta,execution_side_count,roll_side_count,transaction_cost_usd,gross_pnl_usd,net_pnl_usd,equity_usd,peak_equity_usd,daily_loss_usd,drawdown_fraction,risk_state,kill_reason,no_trade_reason,signal_reason,roll_at_open,next_selected_contract_id,score_year
2014-01-01 00:00:00+00:00,2014-01-01 00:00:00+00:00,NGG4@2014-01-29,,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,active,,no_signal_yet,no_signal_yet,False,NGG4@2014-01-29,2014
2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,NGG4@2014-01-29,,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,active,,no_signal_yet,no_signal_yet,False,NGG4@2014-01-29,2014
2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,NGG4@2014-01-29,,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,active,,no_signal_yet,no_signal_yet,False,NGG4@2014-01-29,2014
2014-01-05 00:00:00+00:00,2014-01-05 00:00:00+00:00,NGG4@2014-01-29,ee4681f480b6f182f997,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,active,,specialist_veto,specialist_veto,False,NGG4@2014-01-29,2014
2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,NGG4@2014-01-29,0d1fc075f662b1d0dcd2,-1.0,False,False,0.0,-1.0,-1.0,1.0,0.0,15.0,209.999999999999,194.999999999999,100195.0,100195.0,0.0,0.0,active,,,forecast_signal,False,NGG4@2014-01-29,2014
2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,NGG4@2014-01-29,0d1fc075f662b1d0dcd2,-1.0,False,False,-1.0,-1.0,0.0,0.0,0.0,0.0,-200.000000000004,-200.000000000004,99995.0,100195.0,200.0,0.001996107590199112,active,,,forecast_signal,False,NGG4@2014-01-29,2014
2014-01-08 00:00:00+00:00,2014-01-08 00:00:00+00:00,NGG4@2014-01-29,5759d912c7b3481aa9ee,-1.0,False,False,-1.0,-1.0,0.0,0.0,0.0,0.0,1470.000000000002,1470.000000000002,101465.0,101465.0,0.0,0.0,active,,,forecast_signal,False,NGG4@2014-01-29,2014
2014-01-09 00:00:00+00:00,2014-01-09 00:00:00+00:00,NGG4@2014-01-29,67174f0b7ed125d54080,-1.0,False,False,-1.0,-1.0,0.0,0.0,0.0,0.0,1859.9999999999989,1859.9999999999989,103325.0,103325.0,0.0,0.0,active,,,forecast_signal,False,NGG4@2014-01-29,2014
2014-01-10 00:00:00+00:00,2014-01-10 00:00:00+00:00,NGG4@2014-01-29,6f05edd037a16ec67a70,-1.0,False,False,-1.0,-1.0,0.0,0.0,0.0,0.0,-1200.0000000000011,-1200.0000000000011,102125.0,103325.0,1200.0,0.011613839825792402,active,,,forecast_signal,False,NGG4@2014-01-29,2014
2014-01-12 00:00:00+00:00,2014-01-12 00:00:00+00:00,NGG4@2014-01-29,6f05edd037a16ec67a70,-1.0,False,False,-1.0,-1.0,0.0,0.0,0.0,0.0,-149.999999999996,-149.999999999996,101975.0,103325.0,150.0,0.013065569804016453,active,,,forecast_signal,False,NGG4@2014-01-29,2014
2014-01-13 00:00:00+00:00,2014-01-13 00:00:00+00:00,NGG4@2014-01-29,616bdb167e5d9648b593,-1.0,False,False,-1.0,-1.0,0.0,0.0,0.0,0.0,-1630.000000000002,-1630.000000000002,100345.0,103325.0,1630.0,0.028841035567384467,active,,,forecast_signal,False,NGG4@2014-01-29,2014
2014-01-14 00:00:00+00:00,2014-01-14 00:00:00+00:00,NGG4@2014-01-29,616bdb167e5d9648b593,-1.0,False,False,-1.0,-1.0,0.0,0.0,0.0,0.0,-469.99999999999704,-469.99999999999704,99875.0,103325.0,470.0,0.03338978949915316,active,,,forecast_signal,False,NGG4@2014-01-29,2014
2014-01-15 00:00:00+00:00,2014-01-15 00:00:00+00:00,NGG4@2014-01-29,afcb691eb6108c3fba7b,0.0,True,False,-1.0,0.0,1.0,1.0,0.0,15.0,-0.0,-15.0,99860.0,103325.0,15.0,0.03353496249697556,active,,specialist_veto,specialist_veto,False,NGG4@2014-01-29,2014
2014-01-16 00:00:00+00:00,2014-01-16 00:00:00+00:00,NGG4@2014-01-29,5cdc2bf8178704ffa0c1,1.0,False,False,0.0,1.0,1.0,1.0,0.0,15.0,300.000000000002,285.000000000002,100145.0,103325.0,0.0,0.030776675538349868,active,,,forecast_signal,False,NGG4@2014-01-29,2014
