trade_date,prediction_time,generated_at,fill_trade_date,contract_id,outer_block_id,future_end,pred_terminal_return,pred_slope_per_step,pred_range_pct,pred_close_dispersion_pct,pred_max_upside_pct,pred_max_downside_pct,pred_turning_count,pred_close_return_h1,pred_close_return_h2,pred_close_return_h3,pred_close_return_h4,pred_close_return_h5,actual_terminal_return,actual_slope_per_step,actual_range_pct,actual_close_dispersion_pct,actual_max_upside_pct,actual_max_downside_pct,actual_turning_count,actual_close_return_h1,actual_close_return_h2,actual_close_return_h3,actual_close_return_h4,actual_close_return_h5
2016-12-29T00:00:00+00:00,2016-12-30T14:50:14.329502576+00:00,2016-12-30T14:50:14.329502576+00:00,2017-01-02T00:00:00+00:00,NGG7@2017-01-27,outer-2017-2018,2017-01-06T00:00:00+00:00,-0.0778448077288314,-0.017760329428232937,0.09931578116097368,0.027276435241979095,0.002602320306404504,-0.09671346085456922,1,-0.012802903504941843,-0.040239336612816756,-0.06726008802456551,-0.08775882244736699,-0.0778448077288314,-0.14270696452036802,-0.012851511169513793,0.10407358738501968,0.02351685104443627,-0.06228646517739822,-0.16636005256241782,2,-0.08015768725361372,-0.12851511169513807,-0.1445466491458608,-0.13193166885676744,-0.14270696452036802
2017-01-24T00:00:00+00:00,2017-01-25T14:49:27.263814922+00:00,2017-01-25T14:49:27.263814922+00:00,2017-01-26T00:00:00+00:00,NGH7@2017-02-24,outer-2017-2018,2017-01-31T00:00:00+00:00,0.011572929356916006,0.005469457907565524,0.05284540948454915,0.008474970772715534,0.0299387391032937,-0.02290667038125549,3,-0.011459691287025398,-0.0007411773154997192,-0.005624174602530507,0.007888160472272698,0.011572929356916006,-0.05722070844686655,-0.019860732667272188,0.11746896760520749,0.030161213267110045,0.05903723887375123,-0.0584317287314563,1,0.01816530426884655,0.025734181047532445,0.0027247956403269047,-0.022101120193763202,-0.05722070844686655
2017-02-13T00:00:00+00:00,2017-02-14T14:49:29.250496882+00:00,2017-02-14T14:49:29.250496882+00:00,2017-02-15T00:00:00+00:00,NGH7@2017-02-24,outer-2017-2018,2017-02-20T00:00:00+00:00,0.021858936855515543,0.0019407223499281257,0.037852958348392425,0.004773050756731575,0.0303085108347092,-0.007544447513683106,4,0.014228972529095163,0.0077487734569630096,0.017213478231641766,0.011896068303403506,0.021858936855515543,-0.0539433253670194,-0.013758962103106865,0.08501194947080919,0.020390816578119874,0.022191874359849928,-0.06282007511095933,1,0.0027313076135200287,-0.02663024923181967,-0.029361556845339698,-0.05087060430180945,-0.0539433253670194
2017-03-07T00:00:00+00:00,2017-03-08T14:49:23.130408594+00:00,2017-03-08T14:49:23.130408594+00:00,2017-03-09T00:00:00+00:00,NGJ7@2017-03-29,outer-2017-2018,2017-03-14T00:00:00+00:00,0.15583706503576056,0.022321266984304724,0.1677826892769913,0.03483378389269317,0.17431767937513865,0.006534990098147286,2,0.04953028058036679,0.11234655894845536,0.0971096569454244,0.12294565988071504,0.15583706503576056,0.03223545900490543,-0.0040644709180097886,0.07007708479327265,0.01609486205726115,0.08234057463209532,0.012263489838822528,1,0.04940434477925715,0.06587245970567612,0.0802382620882971,0.059565522074281674,0.03223545900490543
2017-03-29T00:00:00+00:00,2017-03-30T13:52:19.238774064+00:00,2017-03-30T13:52:19.238774064+00:00,2017-03-31T00:00:00+00:00,NGK7@2017-04-26,outer-2017-2018,2017-04-05T00:00:00+00:00,0.023364578451026796,0.007736538373278945,0.06762794504115253,0.013052178984805094,0.040012153883991264,-0.027615791157161285,3,-0.01603021938903826,0.00025554084244228115,-0.006894867280124672,-0.0011686711048983778,0.023364578451026796,0.017096673919801075,0.007304942493005905,0.07025178737954615,0.016827680120079222,0.04041032017407509,-0.029841467205470984,4,-0.007771215418091337,0.0006216972334471826,-0.02269194902082683,0.023935343487721417,0.017096673919801075
2017-04-19T00:00:00+00:00,2017-04-20T13:48:54.386580250+00:00,2017-04-20T13:48:54.386580250+00:00,2017-04-21T00:00:00+00:00,NGK7@2017-04-26,outer-2017-2018,2017-04-26T00:00:00+00:00,-0.025373772767643965,-0.002301867852764083,0.029516892747071845,0.007923872391748441,0.008770607855626444,-0.020746284891445366,2,-0.006418299899205837,-0.018566361789045693,-0.012652534676196092,-0.003674094579810272,-0.025373772767643965,-0.01567398119122254,0.00015673981191222113,0.05109717868338566,0.011940240939012341,-0.0015673981191222097,-0.05266457680250791,3,-0.02946708463949843,-0.022257053291535933,-0.041065830721003116,-0.0482758620689655,-0.01567398119122254
2017-05-11T00:00:00+00:00,2017-05-12T13:46:23.409223245+00:00,2017-05-12T13:46:23.409223245+00:00,2017-05-14T00:00:00+00:00,NGM7@2017-05-26,outer-2017-2018,2017-05-18T00:00:00+00:00,-0.0002044622251987649,0.0035101739685837415,0.08859221112236278,0.010817786163073783,0.05691232112296851,-0.031679889999394195,1,-0.012727063712043352,-0.01616477796464555,-0.03210166937946113,-0.006108241252497315,-0.0002044622251987649,-0.05313149302463649,-0.015791035915701992,0.07331552389433062,0.023545458410408063,0.011576135351736294,-0.06173938854259431,1,0.004749183734045648,-0.00534283170080152,-0.04125853368952215,-0.047491837340457144,-0.05313149302463649
2017-06-05T00:00:00+00:00,2017-06-06T13:49:16.538428448+00:00,2017-06-06T13:49:16.538428448+00:00,2017-06-07T00:00:00+00:00,NGN7@2017-06-28,outer-2017-2018,2017-06-12T00:00:00+00:00,-0.03121077746442802,-0.002414777909937595,0.11139442280049854,0.005965914458069067,0.00696794701198411,-0.10442647578851438,3,-0.0280939804072029,-0.01761340039242676,-0.026128246815402156,-0.035527585377352455,-0.03121077746442802,0.011741026501174145,-0.0009728279100972758,0.03924857430392486,0.003960108571183838,0.03824220060382433,-0.0010063737001004824,1,0.01308285810130827,0.020127474002012757,0.021133847702113462,0.01308285810130827,0.011741026501174145
2017-06-27T00:00:00+00:00,2017-06-28T13:52:57.206181429+00:00,2017-06-28T13:52:57.206181429+00:00,2017-06-29T00:00:00+00:00,NGQ7@2017-07-27,outer-2017-2018,2017-07-04T00:00:00+00:00,0.060532758496677275,0.010017897462876048,0.07747979279663646,0.01640488809231337,0.0923903676990443,0.014910574902407658,2,0.0285635125660475,0.022786272844615763,0.057072956732229674,0.05902675561211668,0.060532758496677275,-0.023248199083169552,-0.006352324819908319,0.061231172233136816,0.012473680105628446,0.02226588081204972,-0.03896529142108707,3,-0.004911591355599154,-0.004256712508185934,-0.03307138179436808,-0.03110674525212831,-0.023248199083169552
2017-07-18T00:00:00+00:00,2017-07-19T13:53:49.582891993+00:00,2017-07-19T13:53:49.582891993+00:00,2017-07-20T00:00:00+00:00,NGQ7@2017-07-27,outer-2017-2018,2017-07-25T00:00:00+00:00,-0.009971457590101318,-0.007109659064238074,0.11192362352639446,0.01859113797364789,0.06375431929288178,-0.04816930423351262,1,0.014299848010765226,0.015503246236753476,0.04151967672141743,-0.007050733203894155,-0.009971457590101318,-0.04384540435206241,-0.007307567392010406,0.07599870087690808,0.013276186296424505,0.011367327054238263,-0.06463137382266981,1,-0.015589477102955551,-0.03864891198441056,-0.04611886976291013,-0.0552127314063009,-0.04384540435206241
