outer_block_id,prediction_time,generated_at,contract_id,pred_terminal_return,actual_terminal_return,pred_terminal_q10_return,pred_terminal_q90_return,pred_slope_per_step,actual_slope_per_step,pred_close_dispersion_pct,actual_close_dispersion_pct,pred_close_return_h1,actual_close_return_h1,pred_q10_close_return_h1,pred_q90_close_return_h1,pred_close_return_h2,actual_close_return_h2,pred_q10_close_return_h2,pred_q90_close_return_h2,pred_close_return_h3,actual_close_return_h3,pred_q10_close_return_h3,pred_q90_close_return_h3,pred_close_return_h4,actual_close_return_h4,pred_q10_close_return_h4,pred_q90_close_return_h4,pred_close_return_h5,actual_close_return_h5,pred_q10_close_return_h5,pred_q90_close_return_h5
outer-2017-2018,2016-12-30T14:50:14.329502576+00:00,2016-12-30T14:50:14.329502576+00:00,NGG7@2017-01-27,-0.009690821170806885,-0.14270696452036802,-0.09353947639465332,0.057234764099121094,-0.00240204930305481,-0.012851511169513795,0.0034082524944096804,0.02351685104443627,-0.00034815073013305664,-0.08015768725361372,-0.043372511863708496,0.037162065505981445,-0.0027251243591308594,-0.12851511169513807,-0.060893893241882324,0.045919179916381836,-0.005495429039001465,-0.1445466491458608,-0.07422035932540894,0.050000548362731934,-0.008060276508331299,-0.13193166885676744,-0.08570224046707153,0.05327916145324707,-0.009690821170806885,-0.14270696452036802,-0.09353947639465332,0.057234764099121094
outer-2017-2018,2017-01-25T14:49:27.263814922+00:00,2017-01-25T14:49:27.263814922+00:00,NGH7@2017-02-24,0.006682395935058594,-0.05722070844686655,-0.06252717971801758,0.0929269790649414,0.0012131929397583008,-0.019860732667272188,0.0018247801344841719,0.030161213267110045,0.0010277032852172852,0.01816530426884655,-0.03654515743255615,0.0428692102432251,0.002942681312561035,0.025734181047532445,-0.047160446643829346,0.06151473522186279,0.003304600715637207,0.0027247956403269047,-0.05372262001037598,0.07246232032775879,0.0037652254104614258,-0.022101120193763202,-0.059908390045166016,0.08222949504852295,0.006682395935058594,-0.05722070844686655,-0.06252717971801758,0.0929269790649414
outer-2017-2018,2017-02-14T14:49:29.250496882+00:00,2017-02-14T14:49:29.250496882+00:00,NGH7@2017-02-24,0.0354313850402832,-0.0539433253670194,-0.03788185119628906,0.13243305683135986,0.007000041007995605,-0.013758962103106865,0.010088762268424034,0.020390816578119874,0.0060814619064331055,0.0027313076135200287,-0.03103625774383545,0.052388787269592285,0.01801896095275879,-0.02663024923181967,-0.03230828046798706,0.08487892150878906,0.024921774864196777,-0.029361556845339698,-0.03327292203903198,0.10268700122833252,0.02931952476501465,-0.05087060430180945,-0.037266552448272705,0.11702477931976318,0.0354313850402832,-0.0539433253670194,-0.03788185119628906,0.13243305683135986
outer-2017-2018,2017-03-08T14:49:23.130408594+00:00,2017-03-08T14:49:23.130408594+00:00,NGJ7@2017-03-29,0.0029304027557373047,0.03223545900490543,-0.053677499294281006,0.07183325290679932,0.00015805959701538092,-0.0040644709180097886,0.00030104193137958646,0.01609486205726115,0.0020704269409179688,0.04940434477925715,-0.030969083309173584,0.03521859645843506,0.002444624900817871,0.06587245970567612,-0.03895854949951172,0.04716324806213379,0.0021686553955078125,0.0802382620882971,-0.04509007930755615,0.056353211402893066,0.002305269241333008,0.059565522074281674,-0.05001199245452881,0.06446611881256104,0.0029304027557373047,0.03223545900490543,-0.053677499294281006,0.07183325290679932
outer-2017-2018,2017-03-30T13:52:19.238774064+00:00,2017-03-30T13:52:19.238774064+00:00,NGK7@2017-04-26,-0.006770431995391846,0.017096673919801075,-0.06466567516326904,0.04741227626800537,-0.0009703099727630619,0.007304942493005907,0.0013752675149589777,0.016827680120079222,-0.0028171539306640625,-0.007771215418091337,-0.036314427852630615,0.026559114456176758,-0.004021704196929932,0.0006216972334471826,-0.048083722591400146,0.03402554988861084,-0.004729926586151123,-0.02269194902082683,-0.05495178699493408,0.039991021156311035,-0.0058182477951049805,0.023935343487721417,-0.060271501541137695,0.04376721382141113,-0.006770431995391846,0.017096673919801075,-0.06466567516326904,0.04741227626800537
outer-2017-2018,2017-04-20T13:48:54.386580250+00:00,2017-04-20T13:48:54.386580250+00:00,NGK7@2017-04-26,-0.006575644016265869,-0.01567398119122254,-0.05795133113861084,0.04047977924346924,-0.0017310559749603273,0.00015673981191222146,0.0024589388631284237,0.011940240939012341,0.0004981756210327148,-0.02946708463949843,-0.0242270827293396,0.023403167724609375,-0.0011039972305297852,-0.022257053291535933,-0.036196768283843994,0.030435919761657715,-0.0025349855422973633,-0.041065830721003116,-0.04450118541717529,0.03611719608306885,-0.004266917705535889,-0.0482758620689655,-0.05187058448791504,0.03962254524230957,-0.006575644016265869,-0.01567398119122254,-0.05795133113861084,0.04047977924346924
outer-2017-2018,2017-05-12T13:46:23.409223245+00:00,2017-05-12T13:46:23.409223245+00:00,NGM7@2017-05-26,-0.009949266910552979,-0.05313149302463649,-0.06270545721054077,0.03609347343444824,-0.0014801561832427982,-0.015791035915701992,0.002106920350342989,0.023545458410408063,-0.004121243953704834,0.004749183734045648,-0.032982587814331055,0.01837611198425293,-0.005910158157348633,-0.00534283170080152,-0.045248210430145264,0.02425241470336914,-0.0069738030433654785,-0.04125853368952215,-0.05227971076965332,0.02927422523498535,-0.009055674076080322,-0.047491837340457144,-0.05824679136276245,0.032004594802856445,-0.009949266910552979,-0.05313149302463649,-0.06270545721054077,0.03609347343444824
outer-2017-2018,2017-06-06T13:49:16.538428448+00:00,2017-06-06T13:49:16.538428448+00:00,NGN7@2017-06-28,0.011587381362915039,0.011741026501174145,-0.03241783380508423,0.06409573554992676,0.0010354518890380866,-0.0009728279100972753,0.0015159904723986983,0.003960108571183838,0.007087349891662598,0.01308285810130827,-0.016148090362548828,0.032746315002441406,0.00908052921295166,0.020127474002012757,-0.02159672975540161,0.04503774642944336,0.010130643844604492,0.021133847702113462,-0.02599787712097168,0.052549004554748535,0.010434985160827637,0.01308285810130827,-0.02969992160797119,0.058042168617248535,0.011587381362915039,0.011741026501174145,-0.03241783380508423,0.06409573554992676
outer-2017-2018,2017-06-28T13:52:57.206181429+00:00,2017-06-28T13:52:57.206181429+00:00,NGQ7@2017-07-27,-0.002993345260620117,-0.023248199083169552,-0.04723602533340454,0.04365694522857666,-0.00037925839424133315,-0.006352324819908318,0.0005525008891709149,0.012473680105628446,-0.0013006925582885742,-0.004911591355599154,-0.0240439772605896,0.022619128227233887,-0.0018474459648132324,-0.004256712508185934,-0.03246241807937622,0.030310392379760742,-0.0020542144775390625,-0.03307138179436808,-0.03863292932510376,0.03564584255218506,-0.0022547245025634766,-0.03110674525212831,-0.04314535856246948,0.040332674980163574,-0.002993345260620117,-0.023248199083169552,-0.04723602533340454,0.04365694522857666
outer-2017-2018,2017-07-19T13:53:49.582891993+00:00,2017-07-19T13:53:49.582891993+00:00,NGQ7@2017-07-27,-1.4901161193847656e-06,-0.04384540435206241,-0.046908676624298096,0.04969799518585205,0.0005053699016571045,-0.007307567392010407,0.0007317436975426972,0.013276186296424505,-0.001996457576751709,-0.015589477102955551,-0.026011347770690918,0.024164319038391113,-0.0015115737915039062,-0.03864891198441056,-0.03411895036697388,0.032512664794921875,-0.0006002187728881836,-0.04611886976291013,-0.03942155838012695,0.03935551643371582,-0.00044780969619750977,-0.0552127314063009,-0.04356461763381958,0.0445246696472168,-1.4901161193847656e-06,-0.04384540435206241,-0.046908676624298096,0.04969799518585205
